[Test 10] Epoch 147 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9305 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4847
[Test 10] Epoch 148 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9782 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4823
[Test 10] Epoch 149 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.8976 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4800
[Test 10] Epoch 150 | LOSS | Score: -100 | Reward: -6.60 | Loss: 0.9244 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4776
[Test 10] Epoch 151 | LOSS | Score: -125 | Reward: -11.30 | Loss: 0.9613 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4753
[Test 10] Epoch 152 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9885 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4730
[Test 10] Epoch 153 | WIN | Score: 50 | Reward: 8.80 | Loss: 0.9077 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.4707
[Test 10] Epoch 154 | LOSS | Score: -125 | Reward: -11.90 | Loss: 1.0098 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4684
[Test 10] Epoch 155 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9558 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4661
[Test 10] Epoch 156 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9929 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4638
[Test 10] Epoch 157 | WIN | Score: -30 | Reward: 2.00 | Loss: 1.0187 | Pigs killed: 2/2 | Tries left: -3 | Shots: 13 | Eps: 0.4616
[Test 10] Epoch 158 | WIN | Score: 60 | Reward: 10.90 | Loss: 0.9862 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.4593
[Test 10] Epoch 159 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9433 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4571
[Test 10] Epoch 160 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0075 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4548
