[Test 5] Epoch 114 | WIN | Score: 60 | Reward: 11.80 | Loss: 1.0798 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.3266
[Test 5] Epoch 115 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0204 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3235
[Test 5] Epoch 116 | WIN | Score: 60 | Reward: 9.60 | Loss: 0.9077 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.3204
[Test 5] Epoch 117 | LOSS | Score: -100 | Reward: -9.90 | Loss: 1.0025 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3173
[Test 5] Epoch 118 | LOSS | Score: -125 | Reward: -13.90 | Loss: 1.0138 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3142
[Test 5] Epoch 119 | WIN | Score: 50 | Reward: 8.80 | Loss: 0.9246 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.3112
[Test 5] Epoch 120 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9501 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3082
[Test 5] Epoch 121 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.9445 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3052
[Test 5] Epoch 122 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9699 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3023
[Test 5] Epoch 123 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.9774 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2994
[Test 5] Epoch 124 | LOSS | Score: -100 | Reward: -7.90 | Loss: 1.0084 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2965
[Test 5] Epoch 125 | WIN | Score: 0 | Reward: 0.40 | Loss: 0.9884 | Pigs killed: 2/2 | Tries left: 0 | Shots: 10 | Eps: 0.2936
[Test 5] Epoch 126 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9762 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2908
[Test 5] Epoch 127 | LOSS | Score: -100 | Reward: -11.60 | Loss: 1.0648 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2880
[Test 5] Epoch 128 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0464 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2853
[Test 5] Epoch 129 | WIN | Score: 20 | Reward: 6.50 | Loss: 1.0711 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.2825
[Test 5] Epoch 130 | WIN | Score: 20 | Reward: 5.20 | Loss: 1.0178 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.2798
[Test 5] Epoch 131 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9885 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2771
[Test 5] Epoch 132 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9625 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2745
[Test 5] Epoch 133 | WIN | Score: 40 | Reward: 8.40 | Loss: 0.9482 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.2718
[Test 5] Epoch 134 | WIN | Score: 10 | Reward: 7.70 | Loss: 1.0272 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.2692
[Test 5] Epoch 135 | WIN | Score: 70 | Reward: 9.70 | Loss: 1.0830 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.2666
[Test 5] Epoch 136 | WIN | Score: 30 | Reward: 7.60 | Loss: 1.1229 | Pigs killed: 2/2 | Tries left: 3 | Shots: 7 | Eps: 0.2641
[Test 5] Epoch 137 | LOSS | Score: -100 | Reward: -6.90 | Loss: 1.0132 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2616
[Test 5] Epoch 138 | LOSS | Score: -100 | Reward: -6.90 | Loss: 1.0279 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2591
[Test 5] Epoch 139 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0556 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2566
[Test 5] Epoch 140 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9453 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2541
[Test 5] Epoch 141 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0278 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2517
[Test 5] Epoch 142 | LOSS | Score: -100 | Reward: -7.90 | Loss: 1.0611 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2493
[Test 5] Epoch 143 | WIN | Score: 70 | Reward: 9.70 | Loss: 1.0757 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.2469
[Test 5] Epoch 144 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9249 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2446
[Test 5] Epoch 145 | WIN | Score: 10 | Reward: 7.40 | Loss: 1.1069 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.2422
[Test 5] Epoch 146 | LOSS | Score: -100 | Reward: -7.60 | Loss: 1.0209 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2399
[Test 5] Epoch 147 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9933 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2376
[Test 5] Epoch 148 | LOSS | Score: -100 | Reward: -4.90 | Loss: 0.9394 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2354
[Test 5] Epoch 149 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9238 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2331
[Test 5] Epoch 150 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0120 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2309
epoch: 150 wins: 19 avg loss: 1.0033257499683734
[Test 5] Epoch 151 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0892 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2287
[Test 5] Epoch 152 | WIN | Score: 70 | Reward: 9.70 | Loss: 0.9421 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.2265
[Test 5] Epoch 153 | LOSS | Score: -125 | Reward: -11.90 | Loss: 1.0513 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2244
[Test 5] Epoch 154 | WIN | Score: 70 | Reward: 10.70 | Loss: 1.0036 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.2222
[Test 5] Epoch 155 | LOSS | Score: -100 | Reward: -7.90 | Loss: 1.0258 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2201
[Test 5] Epoch 156 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9936 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2180
[Test 5] Epoch 157 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0070 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2160
[Test 5] Epoch 158 | LOSS | Score: -125 | Reward: -11.90 | Loss: 1.0223 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.2139
[Test 5] Epoch 159 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9499 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.2119
